date,wm_yr_wk,year,month,week
2011-01-29,11101,2011,1,4
2011-01-30,11101,2011,1,4
2011-01-31,11101,2011,1,5
2011-02-01,11101,2011,2,5
2011-02-02,11101,2011,2,5
2011-02-03,11101,2011,2,5
2011-02-04,11101,2011,2,5
2011-02-05,11102,2011,2,5
2011-02-06,11102,2011,2,5
2011-02-07,11102,2011,2,6
2011-02-08,11102,2011,2,6
2011-02-09,11102,2011,2,6
2011-02-10,11102,2011,2,6
2011-02-11,11102,2011,2,6
2011-02-12,11103,2011,2,6
2011-02-13,11103,2011,2,6
2011-02-14,11103,2011,2,7
2011-02-15,11103,2011,2,7
2011-02-16,11103,2011,2,7
2011-02-17,11103,2011,2,7
2011-02-18,11103,2011,2,7
2011-02-19,11104,2011,2,7
2011-02-20,11104,2011,2,7
2011-02-21,11104,2011,2,8
2011-02-22,11104,2011,2,8
2011-02-23,11104,2011,2,8
2011-02-24,11104,2011,2,8
2011-02-25,11104,2011,2,8
2011-02-26,11105,2011,2,8
2011-02-27,11105,2011,2,8
2011-02-28,11105,2011,2,9
2011-03-01,11105,2011,3,9
2011-03-02,11105,2011,3,9
2011-03-03,11105,2011,3,9
2011-03-04,11105,2011,3,9
2011-03-05,11106,2011,3,9
2011-03-06,11106,2011,3,9
2011-03-07,11106,2011,3,10
2011-03-08,11106,2011,3,10
2011-03-09,11106,2011,3,10
2011-03-10,11106,2011,3,10
2011-03-11,11106,2011,3,10
2011-03-12,11107,2011,3,10
2011-03-13,11107,2011,3,10
2011-03-14,11107,2011,3,11
2011-03-15,11107,2011,3,11
2011-03-16,11107,2011,3,11
2011-03-17,11107,2011,3,11
2011-03-18,11107,2011,3,11
2011-03-19,11108,2011,3,11
2011-03-20,11108,2011,3,11
2011-03-21,11108,2011,3,12
2011-03-22,11108,2011,3,12
2011-03-23,11108,2011,3,12
2011-03-24,11108,2011,3,12
2011-03-25,11108,2011,3,12
2011-03-26,11109,2011,3,12
2011-03-27,11109,2011,3,12
2011-03-28,11109,2011,3,13
2011-03-29,11109,2011,3,13
2011-03-30,11109,2011,3,13
2011-03-31,11109,2011,3,13
2011-04-01,11109,2011,4,13
2011-04-02,11110,2011,4,13
2011-04-03,11110,2011,4,13
2011-04-04,11110,2011,4,14
2011-04-05,11110,2011,4,14
2011-04-06,11110,2011,4,14
2011-04-07,11110,2011,4,14
2011-04-08,11110,2011,4,14
2011-04-09,11111,2011,4,14
2011-04-10,11111,2011,4,14
2011-04-11,11111,2011,4,15
2011-04-12,11111,2011,4,15
2011-04-13,11111,2011,4,15
2011-04-14,11111,2011,4,15
