item_id,dept_id,cat_id
FOODS_3_180,FOODS_3,FOODS
HOUSEHOLD_2_383,HOUSEHOLD_2,HOUSEHOLD
FOODS_3_409,FOODS_3,FOODS
FOODS_1_097,FOODS_1,FOODS
HOBBIES_1_272,HOBBIES_1,HOBBIES
HOUSEHOLD_1_064,HOUSEHOLD_1,HOUSEHOLD
FOODS_2_368,FOODS_2,FOODS
HOUSEHOLD_1_395,HOUSEHOLD_1,HOUSEHOLD
HOUSEHOLD_1_537,HOUSEHOLD_1,HOUSEHOLD
HOUSEHOLD_2_410,HOUSEHOLD_2,HOUSEHOLD
HOBBIES_1_343,HOBBIES_1,HOBBIES
FOODS_3_096,FOODS_3,FOODS
FOODS_3_161,FOODS_3,FOODS
HOUSEHOLD_2_004,HOUSEHOLD_2,HOUSEHOLD
FOODS_3_118,FOODS_3,FOODS
HOBBIES_2_034,HOBBIES_2,HOBBIES
FOODS_3_456,FOODS_3,FOODS
FOODS_3_307,FOODS_3,FOODS
FOODS_3_192,FOODS_3,FOODS
HOUSEHOLD_1_298,HOUSEHOLD_1,HOUSEHOLD
FOODS_1_049,FOODS_1,FOODS
FOODS_2_382,FOODS_2,FOODS
HOBBIES_1_135,HOBBIES_1,HOBBIES
FOODS_3_121,FOODS_3,FOODS
HOBBIES_2_114,HOBBIES_2,HOBBIES
HOUSEHOLD_1_444,HOUSEHOLD_1,HOUSEHOLD
HOBBIES_1_022,HOBBIES_1,HOBBIES
HOUSEHOLD_2_389,HOUSEHOLD_2,HOUSEHOLD
HOUSEHOLD_1_202,HOUSEHOLD_1,HOUSEHOLD
FOODS_3_512,FOODS_3,FOODS
HOUSEHOLD_2_221,HOUSEHOLD_2,HOUSEHOLD
FOODS_2_332,FOODS_2,FOODS
HOBBIES_1_287,HOBBIES_1,HOBBIES
FOODS_3_678,FOODS_3,FOODS
HOBBIES_1_100,HOBBIES_1,HOBBIES
HOBBIES_1_409,HOBBIES_1,HOBBIES
HOUSEHOLD_2_062,HOUSEHOLD_2,HOUSEHOLD
FOODS_2_078,FOODS_2,FOODS
FOODS_2_127,FOODS_2,FOODS
FOODS_3_647,FOODS_3,FOODS
FOODS_3_062,FOODS_3,FOODS
FOODS_3_149,FOODS_3,FOODS
HOUSEHOLD_2_234,HOUSEHOLD_2,HOUSEHOLD
FOODS_3_459,FOODS_3,FOODS
