store_id,item_id,current_on_hand,avg_daily_demand,lead_time_days,safety_stock,rop,order_up_to,suggested_order_qty,reason
CA_1,HOUSEHOLD_1_338,0,5.18,7,19.73,55.98,92.23,93,Reorder: On-hand below ROP
CA_1,HOUSEHOLD_1_262,0,5.5,7,14.64,53.14,91.64,92,Reorder: On-hand below ROP
CA_1,HOUSEHOLD_1_441,0,4.14,7,14.56,43.56,72.56,73,Reorder: On-hand below ROP
CA_1,HOUSEHOLD_1_202,0,2.43,7,8.12,25.12,42.12,43,Reorder: On-hand below ROP
CA_1,FOODS_1_183,0,2.46,7,7.14,24.39,41.64,42,Reorder: On-hand below ROP
CA_1,FOODS_2_396,0,2.32,7,8.09,24.34,40.59,41,Reorder: On-hand below ROP
CA_1,HOUSEHOLD_2_346,0,2.29,7,7.27,23.27,39.27,40,Reorder: On-hand below ROP
CA_1,HOUSEHOLD_1_059,0,2.0,7,6.9,20.9,34.9,35,Reorder: On-hand below ROP
CA_1,FOODS_3_459,0,1.82,7,6.29,19.04,31.79,32,Reorder: On-hand below ROP
CA_1,FOODS_2_183,0,1.54,7,8.61,19.36,30.11,31,Reorder: On-hand below ROP
CA_1,FOODS_1_074,0,1.68,7,7.38,19.13,30.88,31,Reorder: On-hand below ROP
CA_1,HOUSEHOLD_2_203,0,1.46,7,7.24,17.49,27.74,28,Reorder: On-hand below ROP
CA_1,FOODS_3_051,0,1.32,7,6.07,15.32,24.57,25,Reorder: On-hand below ROP
CA_1,HOUSEHOLD_1_468,0,1.32,7,6.07,15.32,24.57,25,Reorder: On-hand below ROP
CA_1,HOUSEHOLD_1_062,0,1.39,7,4.72,14.47,24.22,25,Reorder: On-hand below ROP
CA_1,HOBBIES_1_258,0,1.25,7,5.3,14.05,22.8,23,Reorder: On-hand below ROP
CA_1,FOODS_1_005,0,1.21,7,5.0,13.5,22.0,22,Reorder: On-hand below ROP
CA_1,HOUSEHOLD_1_537,0,1.25,7,3.98,12.73,21.48,22,Reorder: On-hand below ROP
CA_1,HOUSEHOLD_1_371,0,1.04,7,4.59,11.84,19.09,20,Reorder: On-hand below ROP
CA_1,HOBBIES_1_287,0,0.96,7,3.95,10.7,17.45,18,Reorder: On-hand below ROP
CA_1,FOODS_3_096,0,0.93,7,4.35,10.85,17.35,18,Reorder: On-hand below ROP
CA_1,HOUSEHOLD_1_176,0,0.89,7,2.7,8.95,15.2,16,Reorder: On-hand below ROP
CA_1,HOBBIES_1_100,0,0.75,7,3.8,9.05,14.3,15,Reorder: On-hand below ROP
CA_1,HOUSEHOLD_2_013,0,0.64,7,4.08,8.58,13.08,14,Reorder: On-hand below ROP
CA_1,FOODS_2_382,0,0.71,7,3.66,8.66,13.66,14,Reorder: On-hand below ROP
CA_1,HOUSEHOLD_1_187,0,0.61,7,3.37,7.62,11.87,12,Reorder: On-hand below ROP
CA_1,HOBBIES_2_076,0,0.54,7,4.44,8.19,11.94,12,Reorder: On-hand below ROP
CA_1,FOODS_2_387,0,0.61,7,2.94,7.19,11.44,12,Reorder: On-hand below ROP
CA_1,HOUSEHOLD_2_150,0,0.43,7,4.28,7.28,10.28,11,Reorder: On-hand below ROP
CA_1,HOUSEHOLD_2_493,0,0.5,7,2.97,6.47,9.97,10,Reorder: On-hand below ROP
CA_1,HOUSEHOLD_2_159,0,0.43,7,2.96,5.96,8.96,9,Reorder: On-hand below ROP
CA_1,FOODS_3_180,0,0.29,7,2.57,4.57,6.57,7,Reorder: On-hand below ROP
CA_1,HOUSEHOLD_2_408,0,0.32,7,2.04,4.29,6.54,7,Reorder: On-hand below ROP
CA_1,HOBBIES_1_225,0,0.25,7,1.89,3.64,5.39,6,Reorder: On-hand below ROP
CA_1,HOBBIES_1_217,0,0.25,7,1.89,3.64,5.39,6,Reorder: On-hand below ROP
CA_1,HOUSEHOLD_2_362,0,0.21,7,2.14,3.64,5.14,6,Reorder: On-hand below ROP
CA_1,HOBBIES_1_221,0,0.21,7,1.79,3.29,4.79,5,Reorder: On-hand below ROP
CA_1,HOUSEHOLD_1_523,0,0.14,7,1.92,2.92,3.92,4,Reorder: On-hand below ROP
CA_1,HOBBIES_2_008,0,0.07,7,1.62,2.12,2.62,3,Reorder: On-hand below ROP
CA_1,FOODS_2_303,0,0.0,7,0.0,0.0,0.0,0,No reorder: On-hand healthy
CA_1,FOODS_2_166,0,0.0,7,0.0,0.0,0.0,0,No reorder: On-hand healthy
