store_id,item_id,current_on_hand,avg_daily_demand,lead_time_days,safety_stock,rop,order_up_to,suggested_order_qty,reason,stockout_days_simulated
CA_1,HOUSEHOLD_1_262,51,5.5,7,14.64,53.14,91.64,41,Reorder: On-hand below ROP,1
CA_1,HOUSEHOLD_1_468,9,1.32,7,6.07,15.32,24.57,16,Reorder: On-hand below ROP,2
CA_1,HOUSEHOLD_2_203,13,1.46,7,7.24,17.49,27.74,15,Reorder: On-hand below ROP,0
CA_1,HOUSEHOLD_1_537,8,1.25,7,3.98,12.73,21.48,14,Reorder: On-hand below ROP,1
CA_1,HOUSEHOLD_1_187,1,0.61,7,3.37,7.62,11.87,11,Reorder: On-hand below ROP,0
CA_1,HOUSEHOLD_1_523,10,0.14,7,1.92,2.92,3.92,0,No reorder: On-hand healthy,3
CA_1,HOBBIES_1_225,15,0.25,7,1.89,3.64,5.39,0,No reorder: On-hand healthy,48
CA_1,FOODS_3_051,22,1.32,7,6.07,15.32,24.57,0,No reorder: On-hand healthy,16
CA_1,HOUSEHOLD_2_346,150,2.29,7,7.27,23.27,39.27,0,No reorder: On-hand healthy,0
CA_1,FOODS_1_074,67,1.68,7,7.38,19.13,30.88,0,No reorder: On-hand healthy,17
CA_1,HOBBIES_1_258,48,1.25,7,5.3,14.05,22.8,0,No reorder: On-hand healthy,10
CA_1,HOUSEHOLD_2_013,31,0.64,7,4.08,8.58,13.08,0,No reorder: On-hand healthy,1
CA_1,HOBBIES_1_217,14,0.25,7,1.89,3.64,5.39,0,No reorder: On-hand healthy,3
CA_1,FOODS_2_396,141,2.32,7,8.09,24.34,40.59,0,No reorder: On-hand healthy,1
CA_1,HOUSEHOLD_2_493,24,0.5,7,2.97,6.47,9.97,0,No reorder: On-hand healthy,0
CA_1,HOUSEHOLD_1_062,23,1.39,7,4.72,14.47,24.22,0,No reorder: On-hand healthy,11
CA_1,HOUSEHOLD_1_059,141,2.0,7,6.9,20.9,34.9,0,No reorder: On-hand healthy,0
CA_1,HOUSEHOLD_2_159,27,0.43,7,2.96,5.96,8.96,0,No reorder: On-hand healthy,4
CA_1,FOODS_1_183,164,2.46,7,7.14,24.39,41.64,0,No reorder: On-hand healthy,11
CA_1,HOUSEHOLD_2_150,23,0.43,7,4.28,7.28,10.28,0,No reorder: On-hand healthy,0
CA_1,HOUSEHOLD_1_338,78,5.18,7,19.73,55.98,92.23,0,No reorder: On-hand healthy,0
CA_1,FOODS_1_005,90,1.21,7,5.0,13.5,22.0,0,No reorder: On-hand healthy,22
CA_1,FOODS_3_180,34,0.29,7,2.57,4.57,6.57,0,No reorder: On-hand healthy,7
CA_1,FOODS_2_183,99,1.54,7,8.61,19.36,30.11,0,No reorder: On-hand healthy,13
CA_1,FOODS_2_303,0,0.0,7,0.0,0.0,0.0,0,No reorder: On-hand healthy,1834
CA_1,FOODS_3_096,82,0.93,7,4.35,10.85,17.35,0,No reorder: On-hand healthy,27
CA_1,FOODS_2_382,50,0.71,7,3.66,8.66,13.66,0,No reorder: On-hand healthy,57
CA_1,HOUSEHOLD_1_202,65,2.43,7,8.12,25.12,42.12,0,No reorder: On-hand healthy,6
CA_1,HOBBIES_1_287,13,0.96,7,3.95,10.7,17.45,0,No reorder: On-hand healthy,6
CA_1,HOBBIES_1_100,52,0.75,7,3.8,9.05,14.3,0,No reorder: On-hand healthy,3
CA_1,FOODS_3_459,80,1.82,7,6.29,19.04,31.79,0,No reorder: On-hand healthy,82
CA_1,HOUSEHOLD_2_362,5,0.21,7,2.14,3.64,5.14,0,No reorder: On-hand healthy,9
CA_1,HOUSEHOLD_2_408,12,0.32,7,2.04,4.29,6.54,0,No reorder: On-hand healthy,14
CA_1,HOUSEHOLD_1_441,206,4.14,7,14.56,43.56,72.56,0,No reorder: On-hand healthy,4
CA_1,FOODS_2_166,0,0.0,7,0.0,0.0,0.0,0,No reorder: On-hand healthy,1898
CA_1,HOUSEHOLD_1_371,60,1.04,7,4.59,11.84,19.09,0,No reorder: On-hand healthy,4
CA_1,HOBBIES_2_076,10,0.54,7,4.44,8.19,11.94,0,No reorder: On-hand healthy,5
CA_1,FOODS_2_387,50,0.61,7,2.94,7.19,11.44,0,No reorder: On-hand healthy,6
CA_1,HOBBIES_2_008,7,0.07,7,1.62,2.12,2.62,0,No reorder: On-hand healthy,13
CA_1,HOUSEHOLD_1_176,45,0.89,7,2.7,8.95,15.2,0,No reorder: On-hand healthy,11
CA_1,HOBBIES_1_221,4,0.21,7,1.79,3.29,4.79,0,No reorder: On-hand healthy,37
