store_id,item_id,current_on_hand,on_order_pipeline,inventory_position,avg_daily_demand,lead_time_days,review_period_days,safety_stock,rop,order_up_to,suggested_order_qty,reason,stockout_days_simulated
CA_1,FOODS_1_183,23,0,23,2.46,7,7,7.14,24.39,41.64,19,Reorder: Inventory position below ROP,338
CA_1,HOUSEHOLD_1_062,12,0,12,1.39,7,7,4.72,14.47,24.22,13,Reorder: Inventory position below ROP,239
CA_1,HOBBIES_1_258,13,0,13,1.25,7,7,5.3,14.05,22.8,10,Reorder: Inventory position below ROP,242
CA_1,HOUSEHOLD_2_150,4,0,4,0.43,7,7,4.28,7.28,10.28,7,Reorder: Inventory position below ROP,3
CA_1,FOODS_3_180,3,4,7,0.29,7,7,2.57,4.57,6.57,0,No reorder: Inventory position healthy,128
CA_1,HOUSEHOLD_2_346,29,0,29,2.29,7,7,7.27,23.27,39.27,0,No reorder: Inventory position healthy,26
CA_1,FOODS_1_074,24,0,24,1.68,7,7,7.38,19.13,30.88,0,No reorder: Inventory position healthy,271
CA_1,HOUSEHOLD_1_262,26,58,84,5.5,7,7,14.64,53.14,91.64,0,No reorder: Inventory position healthy,80
CA_1,HOBBIES_1_217,4,0,4,0.25,7,7,1.89,3.64,5.39,0,No reorder: Inventory position healthy,48
CA_1,HOBBIES_1_225,6,0,6,0.25,7,7,1.89,3.64,5.39,0,No reorder: Inventory position healthy,517
CA_1,FOODS_2_396,21,17,38,2.32,7,7,8.09,24.34,40.59,0,No reorder: Inventory position healthy,76
CA_1,FOODS_1_005,9,12,21,1.21,7,7,5.0,13.5,22.0,0,No reorder: Inventory position healthy,279
CA_1,HOUSEHOLD_2_203,19,0,19,1.46,7,7,7.24,17.49,27.74,0,No reorder: Inventory position healthy,6
CA_1,HOUSEHOLD_2_159,2,7,9,0.43,7,7,2.96,5.96,8.96,0,No reorder: Inventory position healthy,247
CA_1,HOUSEHOLD_1_338,59,0,59,5.18,7,7,19.73,55.98,92.23,0,No reorder: Inventory position healthy,58
CA_1,HOUSEHOLD_2_493,7,0,7,0.5,7,7,2.97,6.47,9.97,0,No reorder: Inventory position healthy,5
CA_1,HOUSEHOLD_1_523,4,0,4,0.14,7,7,1.92,2.92,3.92,0,No reorder: Inventory position healthy,69
CA_1,HOUSEHOLD_2_013,8,6,14,0.64,7,7,4.08,8.58,13.08,0,No reorder: Inventory position healthy,59
CA_1,FOODS_3_051,12,12,24,1.32,7,7,6.07,15.32,24.57,0,No reorder: Inventory position healthy,166
CA_1,HOUSEHOLD_1_059,3,27,30,2.0,7,7,6.9,20.9,34.9,0,No reorder: Inventory position healthy,102
CA_1,HOUSEHOLD_1_187,1,10,11,0.61,7,7,3.37,7.62,11.87,0,No reorder: Inventory position healthy,16
CA_1,HOUSEHOLD_1_537,14,0,14,1.25,7,7,3.98,12.73,21.48,0,No reorder: Inventory position healthy,205
CA_1,FOODS_2_183,22,0,22,1.54,7,7,8.61,19.36,30.11,0,No reorder: Inventory position healthy,254
CA_1,FOODS_3_096,7,10,17,0.93,7,7,4.35,10.85,17.35,0,No reorder: Inventory position healthy,388
CA_1,FOODS_2_382,4,10,14,0.71,7,7,3.66,8.66,13.66,0,No reorder: Inventory position healthy,545
CA_1,HOUSEHOLD_1_202,23,18,41,2.43,7,7,8.12,25.12,42.12,0,No reorder: Inventory position healthy,163
CA_1,HOBBIES_1_287,6,12,18,0.96,7,7,3.95,10.7,17.45,0,No reorder: Inventory position healthy,220
CA_1,HOBBIES_1_100,7,7,14,0.75,7,7,3.8,9.05,14.3,0,No reorder: Inventory position healthy,145
CA_1,FOODS_3_459,13,18,31,1.82,7,7,6.29,19.04,31.79,0,No reorder: Inventory position healthy,602
CA_1,HOUSEHOLD_1_468,17,0,17,1.32,7,7,6.07,15.32,24.57,0,No reorder: Inventory position healthy,99
CA_1,HOUSEHOLD_2_362,4,0,4,0.21,7,7,2.14,3.64,5.14,0,No reorder: Inventory position healthy,180
CA_1,HOUSEHOLD_2_408,5,0,5,0.32,7,7,2.04,4.29,6.54,0,No reorder: Inventory position healthy,243
CA_1,HOUSEHOLD_1_441,50,0,50,4.14,7,7,14.56,43.56,72.56,0,No reorder: Inventory position healthy,47
CA_1,FOODS_2_166,0,0,0,0.0,7,7,0.0,0.0,0.0,0,No reorder: Inventory position healthy,1898
CA_1,HOUSEHOLD_1_371,5,12,17,1.04,7,7,4.59,11.84,19.09,0,No reorder: Inventory position healthy,87
CA_1,HOBBIES_2_076,7,5,12,0.54,7,7,4.44,8.19,11.94,0,No reorder: Inventory position healthy,63
CA_1,FOODS_2_387,3,8,11,0.61,7,7,2.94,7.19,11.44,0,No reorder: Inventory position healthy,77
CA_1,HOBBIES_2_008,3,0,3,0.07,7,7,1.62,2.12,2.62,0,No reorder: Inventory position healthy,191
CA_1,HOUSEHOLD_1_176,2,14,16,0.89,7,7,2.7,8.95,15.2,0,No reorder: Inventory position healthy,192
CA_1,FOODS_2_303,0,0,0,0.0,7,7,0.0,0.0,0.0,0,No reorder: Inventory position healthy,1834
CA_1,HOBBIES_1_221,3,2,5,0.21,7,7,1.79,3.29,4.79,0,No reorder: Inventory position healthy,337
